Controller,NominalGamma,RS_Lower,RS_Upper,RP_Lower,RP_Upper,MuRS_Lower,MuRS_Upper,MuRP_Lower,MuRP_Upper,NS,NP,RS,RP
mixsyn,0.845811956749029,1.92605617158294,1.94619250498196,1.83930983858244,8.46319810881211,0.509052493044596,0.513901704959096,1.38961624738302,1.40337775816256,1,1,1,0
hinfsyn,0.845811956749029,1.92605617158294,1.94619250498196,1.83930983858244,8.46319810881211,0.509052493044596,0.513901704959096,1.38961624738302,1.40337775816256,1,1,1,0
mu-synthesis,0.979747655062607,3.25089364706463,3.28444030236428,0.982890778564497,3.23661903171311,0.295867293829153,0.297857556534414,0.985574253629819,0.987633472680004,1,1,1,1
H2,1.14756543808801,1.73142129680131,1.74843855510242,2.56784210842574,10.9153276409157,0.572477758991062,0.576785570717294,1.69966632174173,1.71345008274257,1,0,1,0
