Controller,Order,MaxRealPole,WS_S,WS_PeakFrequency,WU_KS,WU_PeakFrequency,WT_T,WT_PeakFrequency,NominalGamma,GammaPeakFrequency,RS_Lower,RS_Upper,WorstGainLower,WorstGainUpper,MuRS_Lower,MuRS_Upper,MuRP_Lower,MuRP_Upper,PitchRiseTime,PitchSettlingTime,PitchOvershoot,YawRiseTime,YawSettlingTime,YawOvershoot,NS,NP,RS,RP,PitchSettlingPass,PitchOvershootPass,YawSettlingPass,YawOvershootPass
mixsyn,14,-0.128914517213745,0.841170041693985,0,0.652682657667468,52.2958842653664,0.244746170336464,13.131442186429,0.845811956749029,5.40353113286225,1.91023939433377,1.93551533404579,1.80293917463328,3.70644447850727,0.284228005962355,0.528929925098238,1.37626294183676,1.39276163505342,0.351057751344485,0.959559107437676,0,0.440054478147067,1.21163351669342,0,1,1,1,0,1,1,1,1
hinfsyn,14,-0.128914517213745,0.841170041693985,0,0.652682657667468,52.2958842653664,0.244746170336464,13.131442186429,0.845811956749029,5.40353113286225,1.91023939433377,1.93551533404579,1.80293917463328,3.70644447850727,0.284228005962355,0.528929925098238,1.37626294183676,1.39276163505342,0.351057751344485,0.959559107437676,0,0.440054478147067,1.21163351669342,0,1,1,1,0,1,1,1,1
PID + compensator,6,-0.0589309989785556,0.886760233324043,0.0830366547421439,0.706670775138745,126.33039918521,0.272264608818644,11.6016566845489,0.887636832281772,Inf,1.86340786615323,1.89083589315959,Inf,Inf,0.523899583885372,0.532215716403975,1.42834783865157,1.44412479222735,0.310983835060542,0.670135233793431,0.424565358367945,0.383307921844835,0.861822354919651,0,1,1,1,0,1,1,1,1
H2,16,-0.128914517226204,1.14353993506959,0,0.152127993134688,17.0490654488322,0.206849990734571,8.34987653970614,1.14756543808801,0,1.75808976953184,1.84825465201858,2.50488358488887,8.34950790890053,0.279183664639808,0.572200575160164,1.67581875722298,1.69763845615871,0.364231774246595,NaN,0,0.453224032439636,NaN,0,1,0,1,0,0,1,0,1
