Controller,Sample,Stable,PitchSettling,YawSettling,PitchSettledWithinHorizon,YawSettledWithinHorizon,PitchBandwidth,YawBandwidth,PitchSteadyStateErrorPercent,YawSteadyStateErrorPercent,YawFromPitchPeak,PitchFromYawPeak,PitchDisturbancePeak,YawDisturbancePeak
mixsyn,1,1,0.674839409155452,0.827044361868862,1,1,6.83816620447989,4.90394157307227,2.0217102013289,1.64375106378387,0.00149429743217555,0.000119891861703796,0.0115306413228465,0.0515970015147015
mixsyn,2,1,27.9603362648491,0.845687355693401,1,1,5.71864573246883,5.77747022456205,1.70962352493131,1.55391041255556,0.00076095984634452,0.000229665409453016,0.0125949265768703,0.0532993968416945
mixsyn,3,1,0.617622354755715,0.775893232410111,1,1,7.03580193109876,5.15148428931363,1.45316795467322,2.01498918847665,0.00222656178774247,0.000231345670775656,0.0117530961470603,0.0515328569099829
mixsyn,4,1,0.599566837023386,0.78682317757732,1,1,7.07198388122343,5.28127841740304,1.58741245625834,1.9045630447185,0.00126658699813772,0.000295750527068844,0.0117486800784736,0.0513381213344483
mixsyn,5,1,2.29168767728135,0.770387738057512,1,1,4.20164383901249,5.02542852075374,1.34269317146346,2.10792866754106,0.00301870749499194,0.000248309422284305,0.0109303028532073,0.0515362229889946
mixsyn,6,1,0.534773583658555,0.84916131675348,1,1,6.27187766453711,5.11284659262184,1.91537103912941,1.67084016199341,0.000969445880228233,0.000182767667569875,0.0118850936561738,0.0522880184307876
mixsyn,7,1,0.748141565191459,0.756238985724724,1,1,5.42737019178462,5.66343650866432,1.05066250769679,2.03877602688505,0.00389900671012493,0.000275621956765871,0.0116176718663179,0.0521884520944507
mixsyn,8,1,0.526059276365824,0.807132431046971,1,1,6.44161535463452,5.38152970202883,1.88275754607567,1.60092924636786,0.00111266312609097,0.000135185195301514,0.011944500033677,0.0520612554873269
mixsyn,9,1,0.576118256598371,0.8544808439825,1,1,6.11217917943531,5.2107969705689,2.44894651654434,1.46484185809052,0.00386201323006149,0.00011773092658397,0.0117356994172495,0.0530015246766152
mixsyn,10,1,0.532517478911671,0.852596015469409,1,1,6.90843549959403,5.75118608910065,0.977687840158787,1.92199030834837,0.00372616824151261,0.000296527975221172,0.0123612469356012,0.0529323919267314
hinfsyn,1,1,0.674839409155452,0.827044361868862,1,1,6.83816620447989,4.90394157307227,2.0217102013289,1.64375106378387,0.00149429743217555,0.000119891861703796,0.0115306413228465,0.0515970015147015
hinfsyn,2,1,27.9603362648491,0.845687355693401,1,1,5.71864573246883,5.77747022456205,1.70962352493131,1.55391041255556,0.00076095984634452,0.000229665409453016,0.0125949265768703,0.0532993968416945
hinfsyn,3,1,0.617622354755715,0.775893232410111,1,1,7.03580193109876,5.15148428931363,1.45316795467322,2.01498918847665,0.00222656178774247,0.000231345670775656,0.0117530961470603,0.0515328569099829
hinfsyn,4,1,0.599566837023386,0.78682317757732,1,1,7.07198388122343,5.28127841740304,1.58741245625834,1.9045630447185,0.00126658699813772,0.000295750527068844,0.0117486800784736,0.0513381213344483
hinfsyn,5,1,2.29168767728135,0.770387738057512,1,1,4.20164383901249,5.02542852075374,1.34269317146346,2.10792866754106,0.00301870749499194,0.000248309422284305,0.0109303028532073,0.0515362229889946
hinfsyn,6,1,0.534773583658555,0.84916131675348,1,1,6.27187766453711,5.11284659262184,1.91537103912941,1.67084016199341,0.000969445880228233,0.000182767667569875,0.0118850936561738,0.0522880184307876
hinfsyn,7,1,0.748141565191459,0.756238985724724,1,1,5.42737019178462,5.66343650866432,1.05066250769679,2.03877602688505,0.00389900671012493,0.000275621956765871,0.0116176718663179,0.0521884520944507
hinfsyn,8,1,0.526059276365824,0.807132431046971,1,1,6.44161535463452,5.38152970202883,1.88275754607567,1.60092924636786,0.00111266312609097,0.000135185195301514,0.011944500033677,0.0520612554873269
hinfsyn,9,1,0.576118256598371,0.8544808439825,1,1,6.11217917943531,5.2107969705689,2.44894651654434,1.46484185809052,0.00386201323006149,0.00011773092658397,0.0117356994172495,0.0530015246766152
hinfsyn,10,1,0.532517478911671,0.852596015469409,1,1,6.90843549959403,5.75118608910065,0.977687840158787,1.92199030834837,0.00372616824151261,0.000296527975221172,0.0123612469356012,0.0529323919267314
PID+comp,1,1,0.746450857627551,0.834662650467122,1,1,7.21882504695766,5.30916402410787,0,0,0.00133516881681142,0.00233555111000931,0.0114375753214274,0.0452943017591524
PID+comp,2,1,29.6115727422282,0.955860012945264,1,1,5.7944642171165,6.27983921705886,0,1.32523111727647e-14,0.000686980118907261,0.00223734414365286,0.0124812587615458,0.0467024597816619
PID+comp,3,1,0.592215453466437,0.78194409207753,1,1,7.50488404236449,5.56928188825855,0,0,0.00197978834133434,0.0027063242655289,0.0116815723751427,0.0449149858161882
PID+comp,4,1,0.586106994764132,0.806048266799571,1,1,7.54078276508036,5.71578285882396,0,1.32523111727647e-14,0.00112969285894614,0.0027529809461371,0.0116725835715929,0.0448264850693903
PID+comp,5,1,2.2804690972108,0.770622523804554,1,1,4.23173800868538,5.40852148919775,0,2.65046223455293e-14,0.002678120758274,0.00221934672593818,0.010847053994884,0.0448560765262172
PID+comp,6,1,1.22035155937254,0.895750675742699,1,1,6.66389217587811,5.56252538066151,0,0,0.000865283468934764,0.00246293003100076,0.0117922314233223,0.0458526451735655
PID+comp,7,1,0.737817013187877,0.771671731141731,1,1,7.39016332873327,6.11355164120504,0,0,0.00344556475139467,0.00234600923949384,0.01151724554339,0.0453346630455589
PID+comp,8,1,1.13996212958142,0.817786219772591,1,1,6.92101859893539,5.8653260951654,0,0,0.000992228590919695,0.00238937728312356,0.011848325894465,0.0456643664891894
PID+comp,9,1,1.10231451345171,0.88858299824209,1,1,6.3805299589761,5.69911008168342,0,0,0.00346718567030107,0.00233085336127755,0.0116317851757033,0.046752124161332
PID+comp,10,1,0.503200097638381,1.14564055825733,1,1,7.68245091620398,6.17111545041928,0,0,0.00329051452834012,0.00255505311267667,0.0122655946035906,0.0459839643917026
mu-synthesis,1,1,2.4614107518325,3.21469285722507,1,1,4.12947705118594,4.71817934219415,2.20775036892381,0.256428498816008,0.0016933007230749,0.000408602795581655,0.0116282338810627,0.0407904398234828
mu-synthesis,2,1,2.5172254132492,3.17498802557848,1,1,6.07641287187057,5.46074682890646,1.89828235295603,0.244753398291803,0.00102240797141861,0.000333887241172357,0.0127201694703421,0.0419471613805262
mu-synthesis,3,1,2.52222318640362,2.79585438610544,1,1,4.17546338623748,4.89241963285792,1.74400835656802,0.32839078116315,0.00127631750509318,0.000631597555977962,0.0118160565205539,0.0407737044660015
mu-synthesis,4,1,2.50912864556886,2.78321346716301,1,1,4.21650251240629,5.01296260134146,1.8497837223153,0.307432271100067,0.000545416195892584,0.000698624907373493,0.0118152454560675,0.0405402708127407
mu-synthesis,5,1,2.35250559646583,2.7763072513958,1,1,3.53675833434308,4.78341075125458,1.65681838812714,0.34599687636521,0.00188833511547691,0.000370424718016208,0.0110150498298202,0.040820902550583
mu-synthesis,6,1,2.41965706394544,3.08596051403187,1,1,4.38468111095811,4.89338389936952,2.11335780070049,0.26251258326622,0.0012635699180074,0.0005190650992503,0.0119788147806239,0.0412373932125008
mu-synthesis,7,1,2.4718400887661,2.59338789449715,1,1,4.08884240057214,5.30705433533155,1.3700399953551,0.337603018139066,0.00258721274641537,0.000466750043647528,0.0117225447786235,0.0411433880803229
mu-synthesis,8,1,2.4103422828455,3.17153475634174,1,1,4.43907672450613,5.11361569344271,2.06965909570111,0.250754068917047,0.00136319515535058,0.000384119534597529,0.0120424694547882,0.0410768776570967
mu-synthesis,9,1,1.9709087457945,3.51494883202412,1,1,4.22851474230819,4.97858238612729,2.57505618774932,0.219992653525415,0.00353941989104122,0.000447482179803703,0.0118478030039809,0.0418406962020808
mu-synthesis,10,1,2.45397529162569,2.45426835657538,1,1,4.49437759315297,5.40254520631763,1.27973197577473,0.318129636761118,0.0024703356215692,0.000494836770024278,0.0124555042196794,0.0415509731851378
H2,1,1,0.702457398072529,0.852341682170615,1,1,6.57183535523514,4.65435702665002,2.75422440381641,2.10687565145128,0.00190642399168269,0.000207949106186779,0.0153279059061507,0.0661324389470995
H2,2,1,NaN,0.767706317639669,0,1,5.540505660763,5.45266700828782,2.32925692691162,1.99222888676554,0.00102550164768495,0.000299320619736167,0.0167664198534197,0.0683383349286432
H2,3,1,0.63153474555048,0.791539940050667,1,1,6.4379326403062,4.83349446266871,1.97168460009313,2.58068867066624,0.00283716226014361,0.000288431230342311,0.0153823741286397,0.0661611017444375
H2,4,1,0.613604808934887,0.784369960211451,1,1,6.49237429376161,4.9995913951196,2.1569271352254,2.43969504351328,0.00161175750966718,0.000356718726513113,0.0154433652054406,0.0658675397594888
H2,5,1,2.36867732829444,0.799614993818362,1,1,3.94559838171426,4.69907438425632,1.81917779744019,2.69937868843222,0.00384829032293941,0.000289144858465806,0.014632383441799,0.0661996921072482
H2,6,1,1.94854483131263,0.853830174405477,1,1,5.94220891230825,4.88555350663882,2.60863290161102,2.14141405287516,0.001238657044705,0.000222810503543909,0.0157392619867415,0.0670086879453807
H2,7,1,0.851201602991601,0.734789882095705,1,1,5.24625152945532,5.2969775539325,1.41961755670124,2.61190635517995,0.00497443042516326,0.000308509353572388,0.0155431869447929,0.0670538956321647
H2,8,1,1.3904753234945,0.790718861246001,1,1,6.02342263245117,5.08749633295229,2.56515365007401,2.05222640944364,0.00142227321035757,0.000167381999306691,0.0159374892425417,0.0667357123936
H2,9,1,0.626111893236265,0.848926762094226,1,1,5.89483206694265,4.94110553496849,3.3392697074029,1.87908024814531,0.00491026668317142,0.000148486221603055,0.0155298065129887,0.0678155980733615
H2,10,1,0.544420408509627,0.772260216638143,1,1,6.21366504704485,5.50646320179071,1.32096610640126,2.46306927111231,0.00475604951119913,0.000375824988295064,0.0166330076141955,0.0679898421496002
